DEMONSTRATIVO STATUS
JANEIRO FEVEREIRO MARÇO ABRIL
1. RECEITAS OPERACIONAIS 165.126,41R$       404.083,61R$       674.288,98R$       458.528,70R$       
CARTÃO DE CRÉDITO 15.131,20R$            4.627,61 R$              15.468,88 R$            10.851,12 R$            
RETIRADA CAIXA BANCO 36.770,00R$            14.770,00 R$            6.810,00 R$              - R$                        
TARIFAS BANCÁRIAS 93,61 R$                    297,12 R$                  107,92 R$                  102,68 R$                  
3. RESULTADO OPERACIONAL BRUTO 177.992,14-R$       175.965,46R$       255.991,96R$       155.317,93R$       
4. AJUSTES GERENCIAIS 234.837,44R$       109.394,97-R$       164.072,77-R$       13.839,27-R$         
4.1 OUTROS VALORES A RECEBER 295.630,00R$          - R$                        144.000,00 R$          126.000,00 R$          
EVENTOS RECEBIDOS PELO LA ORANA
EMPRÉSTIMOS PARA LA ORANA 295.630,00R$          - R$                        144.000,00 R$          126.000,00 R$          
4.2 (-) OUTROS VALORES A PAGAR 64.560,00R$            114.672,00 R$          347.942,96 R$          148.260,00 R$          
EVENTOS A PAGAR LA ORANA 64.560,00R$            114.672,00 R$          347.942,96 R$          148.260,00 R$          
EMPRÉSTIMOS DA LA ORANA - R$                        - R$                        - R$                        - R$                        
RECEBIMENTOS DE EVENTOS CONTA ERRADA - R$                        - R$                        - R$                        70.000,00 R$            
4.3 RATEIOS ENTRE EMPRESAS 3.767,44 R$              5.347,98 R$              46.599,83 R$            15.453,49 R$            
(+) RATEIO A RECEBER LA ORANA 3.914,08 R$              5.494,62 R$              46.746,47 R$            15.618,13 R$            
[R] SALÁRIOS 3.735,14 R$              3.695,01 R$              3.745,53 R$              3.735,52 R$              
[R] 13º SALÁRIO - R$                        - R$                        - R$                       - R$                       
[R] ÁGUA - R$                        - R$                        9.146,66 R$              - R$                       
[R] ENERGIA ELETRICA - R$                        - R$                        32.046,70R$           10.081,12 R$           
[R] SEGUROS - R$                        1.640,35 R$              1.640,35 R$              1.640,35 R$              
[R] TELEFONIA E INTERNET 77,44 R$                    77,44 R$                    77,44 R$                    79,40 R$                   
[R] DESPESAS COM INFORMATICA 101,50 R$                  81,82 R$                    89,79 R$                    81,74 R$                   
(-) RATEIO A PAGAR LA ORANA 146,64 R$                  146,64 R$                  146,64 R$                  164,64 R$                  
[R] DEDETIZAÇÃO 146,64 R$                  146,64 R$                  146,64 R$                  164,64 R$                 
4.4 (-) DISTRIBUIÇÕES PARA SÓCIOS - R$                        70,95 R$                    6.729,64 R$              7.032,76 R$              
PART. Sr MARIO - R$                        - R$                        1.840,00 R$              
PART. SAYURI - R$                        70,95 R$                    6.729,64 R$              5.192,76 R$              
5. RESULTADO OPERACIONAL LÍQUIDO 56.845,30R$         66.570,49R$         91.919,19R$         141.478,66R$       
